country,L_raw
Afghanistan,0.3162132600639435
Albania,0.4828477843306903
Algeria,0.4940507135258926
Angola,0.4264344702532744
Antigua and Barbuda,0.6366817220726585
Argentina,0.545865122456575
Australia,0.7979644923723296
Austria,0.7935704110462956
"Bahamas, The",0.589543069114535
Bangladesh,0.3861090541178971
Barbados,0.6588176470963782
Belarus,0.4465431687993765
Belgium,0.7813573659390064
Belize,0.4950310534291465
Benin,0.4763285137740062
Bolivia,0.3675842188700622
Bosnia and Herzegovina,0.5193721947044518
Botswana,0.5892981689825921
Brazil,0.4973922773483398
Bulgaria,0.5579610315843088
Burkina Faso,0.4614152863254806
Cambodia,0.3103913403564594
Cameroon,0.3574148810264759
Canada,0.7973354466155428
Chile,0.6572476647326451
China,0.473118078756562
Colombia,0.4805351321974791
"Congo, Dem. Rep.",0.3432413866467525
"Congo, Rep.",0.4024435195148965
Costa Rica,0.6757425878179707
Cote d'Ivoire,0.4505793984236586
Croatia,0.6107784997701696
Cyprus,0.6708921201027804
Czechia,0.7398267952654254
Denmark,0.8992152807180686
Dominica,0.576446309395449
Dominican Republic,0.4933779292650581
Ecuador,0.4621518808448568
"Egypt, Arab Rep.",0.3508260793293175
El Salvador,0.4315064122887377
Estonia,0.8170561525163944
Ethiopia,0.3712885120501373
Finland,0.8746967868565796
France,0.7247432014865005
Gabon,0.3968026140441523
"Gambia, The",0.4899861006015324
Georgia,0.5956362567403845
Germany,0.834287846278717
Ghana,0.5475778643934084
Greece,0.6017106297476307
Grenada,0.6013774066816704
Guatemala,0.4433956555552581
Guinea,0.4107994494233924
Guyana,0.5002155886974443
Haiti,0.3310813881674971
Honduras,0.4168477016758153
"Hong Kong SAR, China",0.7218834204382155
Hungary,0.5129633180786627
India,0.4975257057630606
Indonesia,0.5276737928700821
"Iran, Islamic Rep.",0.3856801338682391
Ireland,0.8203464092473991
Italy,0.659881166053688
Jamaica,0.5703495880552187
Japan,0.7863468912806068
Jordan,0.548070442347771
Kazakhstan,0.5360672797119281
Kenya,0.4528428713547938
"Korea, Rep.",0.7401175463355593
Kosovo,0.5585135829946033
Kuwait,0.5833344597165191
Kyrgyz Republic,0.4533077182836502
Latvia,0.7328403045969962
Lebanon,0.4416074295760223
Liberia,0.441384767209461
Lithuania,0.7735471667602729
Luxembourg,0.8296484524062891
Madagascar,0.4289041843953808
Malawi,0.519545478213908
Malaysia,0.5701023243565982
Mali,0.3938102503013204
Malta,0.671409541394388
Mauritania,0.3636400444335136
Mauritius,0.6032989490495695
Mexico,0.4147534014934305
Moldova,0.5364899283640642
Mongolia,0.5343593964528623
Montenegro,0.5688305799274321
Morocco,0.4787151133616728
Mozambique,0.388892208249649
Myanmar,0.3355015899590228
Namibia,0.6116014716988198
Nepal,0.5207653248952857
Netherlands,0.8263916407194039
New Zealand,0.8337797373346151
Nicaragua,0.3362226506681854
Niger,0.4281460387622303
Nigeria,0.40427034942946
North Macedonia,0.534286818815342
Norway,0.8921052008039166
Pakistan,0.3790546382842271
Panama,0.5176474490274319
Paraguay,0.4580961749764758
Peru,0.4822315058122025
Philippines,0.4606709340970146
Poland,0.6593764798608797
Portugal,0.6774966404074869
Romania,0.620233215851603
Russian Federation,0.4284287788836249
Rwanda,0.6343169606273977
Senegal,0.5521363023790659
Serbia,0.4747131227630262
Sierra Leone,0.4336936477903186
Singapore,0.7826090696568875
Slovak Republic,0.6588258976103459
Slovenia,0.6893438427733619
South Africa,0.5634917088238477
Spain,0.7145684665246717
Sri Lanka,0.506654450019027
St. Kitts and Nevis,0.6356912642245882
St. Lucia,0.616574851276361
St. Vincent and the Grenadines,0.6162656790549644
Sudan,0.3525517188445635
Suriname,0.4936673272256894
Sweden,0.8563826495712684
Tanzania,0.4663654068981878
Thailand,0.4977126289210407
Togo,0.4453837482122781
Trinidad and Tobago,0.5116414343546422
Tunisia,0.5035815617882501
Turkiye,0.4155407480954199
Uganda,0.3879923101792206
Ukraine,0.4869440724789878
United Arab Emirates,0.6352985778209921
United Kingdom,0.7849804611446007
United States,0.6989958841498793
Uruguay,0.7193675028002385
Uzbekistan,0.494517405361126
"Venezuela, RB",0.260713295585324
Viet Nam,0.496466988448204
Zambia,0.452359836189448
Zimbabwe,0.3967318900923836
